ID,16S_Filtered,Isotope_data,Isotopes,MigratoryStatus
EA_F21_PRON_2,No,No,None,Unknown
EA_F21_PRON_3,No,No,None,Unknown
EA_F21_PRON_4,No,No,None,Unknown
EA_F21_QUFL_1,No,Yes,-80.93604,No
EA_F21_QUFL_2,No,Yes,-92.96707,No
EA_F21_QUFL_3,No,Yes,-101.53508,Yes
EA_F21_STMS_1,No,Yes,-83.94894,No
EA_F21_STMS_10,Yes,No,None,Unknown
EA_F21_STMS_2,No,Yes,-83.90054,No
EA_F21_STMS_3,Yes,Yes,-72.98634,No
EA_F21_SUVA_1,No,Yes,-95.76459,No
EA_F21_SUVA_2,Yes,Yes,-79.95352,No
EA_F21_SUVA_3,Yes,Yes,-108.3256,Yes
EA_F21_TIGA_1,No,Yes,-99.8556,Yes
EA_F21_TIGA_2,No,Yes,-100.55014,Yes
EA_F21_TIGA_3,No,Yes,-84.13528,No
EA_F21_URIL_1,Yes,Yes,-89.05151,No
EA_F21_URIL_2,No,Yes,-113.04339,No
EA_F21_URIL_3,Yes,Yes,-84.88306,No
EA_F21_URIL_6,No,No,None,Unknown
EA_F22_ARTX_1,Yes,Yes,-77.09555,No
EA_F22_ARTX_2,Yes,Yes,-70.53856,No
EA_F22_ARTX_3,No,Yes,-85.85353,No
EA_F22_ARWI_1,Yes,No,None,Unknown
EA_F22_ARWI_2,Yes,No,None,Unknown
EA_F22_ARWI_3,Yes,No,None,Unknown
EA_F22_ATAL_1,Yes,Yes,-72.71656,No
EA_F22_ATAL_3,Yes,Yes,-147.33363,Yes
EA_F22_ATGA_11,Yes,No,None,Unknown
EA_F22_ATGA_12,No,No,None,Unknown
EA_F22_BRSD_1,Yes,No,None,Unknown
EA_F22_BRSD_2,No,No,None,Unknown
EA_F22_BRSD_3,Yes,No,None,Unknown
EA_F22_CHIL_1,Yes,No,None,Unknown
EA_F22_CHIL_2,No,No,None,Unknown
EA_F22_CLMN_1,No,No,None,Unknown
EA_F22_DEMD_1,No,Yes,-98.44116,No
EA_F22_DEMD_2,No,Yes,-107.0128,Maybe
EA_F22_DRON_1,Yes,No,None,Unknown
EA_F22_DRON_2,Yes,No,None,Unknown
EA_F22_DRON_3,Yes,No,None,Unknown
EA_F22_FWTX_1,Yes,Yes,-62.11212,No
EA_F22_FWTX_2,Yes,Yes,-137.40921,Yes
EA_F22_FWTX_3,Yes,Yes,-92.61138,No
EA_F22_KEON_1,Yes,Yes,-163.13986,Unknown
EA_F22_KEON_2,Yes,No,None,Unknown
EA_F22_KEON_3,Yes,No,None,Unknown
EA_F22_METN_1,Yes,Yes,-105.56564,Maybe
EA_F22_METN_2,Yes,Yes,-84.77421,No
EA_F22_METN_3,Yes,Yes,-138.38084,Yes
EA_F22_MNIL_1,Yes,No,None,Unknown
EA_F22_STMS_1,Yes,Yes,-134.63635,Yes
EA_F22_STMS_2,Yes,Yes,-135.31703,Yes
EA_F22_SUVA_1,No,Yes,-133.95686,Yes
EA_F22_SUVA_2,Yes,Yes,-118.78793,Yes
EA_F22_URIL_1,No,Yes,-145.78427,Yes
EA_F22_URIL_2,Yes,Yes,-135.78708,Maybe
EA_F22_WIVA_1,No,Yes,-95.07242,No
EA_F22_WIVA_2,No,Yes,-115.4595,Maybe
EA_F22_WIVA_3,Yes,Yes,-112.48569,Maybe
EA_S22_ATAL_1,No,Yes,dropped,Unknown
EA_S22_ATAL_2,No,Yes,-104.53875,Maybe
EA_S22_ATAL_3,No,Yes,-81.6375,No
EA_S22_ATGA_1,Yes,Yes,-72.89875,No
EA_S22_ATGA_2,Yes,Yes,-78.035,No
EA_S22_ATGA_3,No,Yes,-104.0175,Maybe
